day,date,shadow_signals,actual_trades,alignment,total_bars,pnl,equity
1,2026-06-11,21,0,N/A,5322,,
2,2026-06-12,6,0,N/A,5281,,
3,2026-06-15,4,0,N/A,5294,,
4,2026-06-16,0,0,N/A,5287,,
5,2026-06-17,0,0,N/A,717,,
6,2026-06-18,0,0,N/A,860,,
7,2026-06-22,0,0,N/A,1123,,
8,2026-06-23,0,0,N/A,960,,
9,2026-06-24,1,0,N/A (historical),1143,,
10,2026-06-25,0,0,N/A (historical),1146,,
11,2026-06-26,1,0,0%,1144,,
12,2026-06-29,0,0,N/A,1119,,
13,2026-06-30,15,0,0%,1135,,
14,2026-07-01,25,0,0%,1127,,
15,2026-07-02,15,0,0%,1131,,
16,2026-07-03,0,0,N/A,0,,
17,2026-07-06,6,2,17%,1123,-516.49,299483.51
18,2026-07-07,7,4,29%,757,-63.81,299419.7
19,2026-07-08,1,2,50%,1121,313.89,299733.59
20,2026-07-09,5,4,40%,1102,-486.65,299246.71
21,2026-07-10,4,2,25%,1080,-38.85,299207.67
22,2026-07-13,1,2,50%,1124,-388.53,298818.91
23,2026-07-14,9,4,22%,1132,-327.84,298490.8
24,2026-07-15,2,2,50%,1136,-342.07,298148.24
25,2026-07-17,1,2,50%,1143,-217.44,297930.65
26,2026-07-21,24,4,8%,1120,-41.62,297888.8
27,2026-07-23,0,0,N/A,0,,
28,2026-07-24,2,2,50%,399,-515.61,297373.14
29,2026-07-27,1,2,50%,1133,-152.82,297220.11
30,2026-07-28,18,4,11%,1116,131.56,297351.54
