time,symbol,close,signal,confidence,reason,would_entry,would_stop,would_target,would_shares,would_risk,order_submitted
2026-07-17T15:14:00+00:00,GOOGL,346.1,HOLD,0.178,"[HOLD conf=0.18] ORB=HOLD(0.00), VWAP=BUY(0.51), EMA=HOLD(0.00)",,,,,,False
2026-07-17T15:14:00+00:00,GIS,38.785,HOLD,0.227,"[HOLD conf=0.23] ORB=HOLD(0.00), VWAP=SELL(0.65), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,,False
2026-07-17T15:14:00+00:00,TSLA,379.87,HOLD,0.178,"[HOLD conf=0.18] ORB=HOLD(0.00), VWAP=SELL(0.51), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,,False
2026-07-17T15:14:00+00:00,META,628.49,HOLD,0.035,"[HOLD conf=0.04] ORB=SELL(0.56), VWAP=BUY(0.74), EMA=HOLD(0.00)",,,,,,False
2026-07-17T15:14:00+00:00,FAST,46.35,HOLD,0.168,"[HOLD conf=0.17] ORB=HOLD(0.00), VWAP=BUY(0.48), EMA=HOLD(0.00)",,,,,,False
2026-07-17T15:14:00+00:00,AMD,485.44,HOLD,0.206,"[HOLD conf=0.21] ORB=HOLD(0.00), VWAP=BUY(0.59), EMA=HOLD(0.00)",,,,,,False
2026-07-17T15:14:00+00:00,ABT,101.48,HOLD,0.175,"[HOLD conf=0.17] ORB=HOLD(0.00), VWAP=BUY(0.50), EMA=HOLD(0.00)",,,,,,False
2026-07-17T15:14:00+00:00,MDT,83.68,HOLD,0.189,"[HOLD conf=0.19] ORB=HOLD(0.00), VWAP=SELL(0.54), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,,False
2026-07-17T15:14:00+00:00,C,130.58,HOLD,0.234,"[HOLD conf=0.23] ORB=HOLD(0.00), VWAP=BUY(0.67), EMA=HOLD(0.00)",,,,,,False
2026-07-17T15:14:00+00:00,KO,83.06,HOLD,0.22,"[HOLD conf=0.22] ORB=HOLD(0.00), VWAP=SELL(0.63), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,,False
2026-07-17T15:14:00+00:00,GLW,153.585,HOLD,0.192,"[HOLD conf=0.19] ORB=HOLD(0.00), VWAP=BUY(0.55), EMA=HOLD(0.00)",,,,,,False
2026-07-17T15:14:00+00:00,AMZN,248.7,HOLD,0.234,"[HOLD conf=0.23] ORB=HOLD(0.00), VWAP=BUY(0.67), EMA=HOLD(0.00)",,,,,,False
2026-07-17T15:14:00+00:00,MU,852.36,HOLD,0.172,"[HOLD conf=0.17] ORB=HOLD(0.00), VWAP=BUY(0.49), EMA=HOLD(0.00)",,,,,,False
2026-07-17T15:14:00+00:00,BMY,61.94,HOLD,0.196,"[HOLD conf=0.20] ORB=HOLD(0.00), VWAP=BUY(0.56), EMA=HOLD(0.00)",,,,,,False
2026-07-17T15:14:00+00:00,PYPL,55.93,HOLD,0.227,"[HOLD conf=0.23] ORB=HOLD(0.00), VWAP=SELL(0.65), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,,False
2026-07-17T15:14:00+00:00,XOM,147.78,HOLD,0.016,"[HOLD conf=0.02] ORB=SELL(0.52), VWAP=BUY(0.55), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,,False
2026-07-17T15:14:00+00:00,NFLX,67.46,HOLD,0.186,"[HOLD conf=0.19] ORB=HOLD(0.00), VWAP=BUY(0.53), EMA=HOLD(0.00)",,,,,,False
2026-07-17T15:14:00+00:00,WMT,116.07,HOLD,0.21,"[HOLD conf=0.21] ORB=HOLD(0.00), VWAP=SELL(0.60), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,,False
2026-07-17T15:14:00+00:00,WFC,88.92,HOLD,0.182,"[HOLD conf=0.18] ORB=HOLD(0.00), VWAP=SELL(0.52), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,,False
2026-07-17T15:19:00+00:00,NFLX,67.79,HOLD,0.217,"[HOLD conf=0.22] ORB=HOLD(0.00), VWAP=BUY(0.62), EMA=HOLD(0.00)",,,,,,False
2026-07-17T15:19:00+00:00,XOM,148.04,HOLD,0.217,"[HOLD conf=0.22] ORB=HOLD(0.00), VWAP=SELL(0.62), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,,False
2026-07-17T15:19:00+00:00,KO,83.15,HOLD,0.206,"[HOLD conf=0.21] ORB=HOLD(0.00), VWAP=SELL(0.59), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,,False
2026-07-17T15:19:00+00:00,C,130.46,HOLD,0.22,"[HOLD conf=0.22] ORB=HOLD(0.00), VWAP=BUY(0.63), EMA=HOLD(0.00)",,,,,,False
2026-07-17T15:19:00+00:00,GIS,38.785,HOLD,0.227,"[HOLD conf=0.23] ORB=HOLD(0.00), VWAP=SELL(0.65), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,,False
2026-07-17T15:19:00+00:00,TSLA,380.31,HOLD,0.161,"[HOLD conf=0.16] ORB=HOLD(0.00), VWAP=SELL(0.46), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,,False
2026-07-17T15:19:00+00:00,GOOGL,346.385,HOLD,0.189,"[HOLD conf=0.19] ORB=HOLD(0.00), VWAP=BUY(0.54), EMA=HOLD(0.00)",,,,,,False
2026-07-17T15:19:00+00:00,FCX,58.42,HOLD,0.245,"[HOLD conf=0.24] ORB=HOLD(0.00), VWAP=BUY(0.70), EMA=HOLD(0.00)",,,,,,False
2026-07-17T15:19:00+00:00,WFC,88.9,HOLD,0.186,"[HOLD conf=0.19] ORB=HOLD(0.00), VWAP=SELL(0.53), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,,False
2026-07-17T15:19:00+00:00,PYPL,55.945,HOLD,0.178,"[HOLD conf=0.18] ORB=HOLD(0.00), VWAP=SELL(0.51), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,,False
2026-07-17T15:19:00+00:00,MDT,83.65,HOLD,0.192,"[HOLD conf=0.19] ORB=HOLD(0.00), VWAP=SELL(0.55), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,,False
2026-07-17T15:19:00+00:00,MU,856.7,HOLD,0.189,"[HOLD conf=0.19] ORB=HOLD(0.00), VWAP=BUY(0.54), EMA=HOLD(0.00)",,,,,,False
2026-07-17T15:19:00+00:00,ABT,101.01,HOLD,0.227,"[HOLD conf=0.23] ORB=HOLD(0.00), VWAP=SELL(0.65), EMA=HOLD(0.00) [VETOED: long_only mode]",,,,,,False
2026-07-17T15:19:00+00:00,GLW,153.92,HOLD,0.199,"[HOLD conf=0.20] ORB=HOLD(0.00), VWAP=BUY(0.57), EMA=HOLD(0.00)",,,,,,False
2026-07-17T15:19:00+00:00,META,629.23,HOLD,0.007,"[HOLD conf=0.01] ORB=SELL(0.55), VWAP=BUY(0.65), EMA=HOLD(0.00)",,,,,,False
